pub,count,tag
red lion,402,color
royal oak,331,royalty
crown inn,224,inn
new inn,209,inn
white hart,208,color
kings arms,196,royalty
rose & crown,191,royalty
kings head,186,royalty
white horse,185,color
queens head,183,royalty
ship inn,169,inn
prince of wales,144,royalty
plough inn,142,inn
black horse,132,color
bell inn,128,inn
swan inn,114,inn
fox & hounds,110,noun
george & dragon,109,royalty
white lion,108,color
star inn,107,inn
coach & horses,107,noun
sun inn,95,inn
hare & hounds,95,noun
railway inn,91,inn
white swan,87,color
george inn,83,inn
white horse inn,82,inn
golden lion,78,color
slug & lettuce,76,noun
anchor inn,75,inn
castle inn,73,inn
red lion inn,73,color
black bull,70,color
bridge inn,68,inn
wheatsheaf inn,65,inn
george hotel,64,inn
crown hotel,64,inn
white hart inn,63,color
station hotel,62,inn
waggon & horses,61,noun
village inn,61,inn
green man,60,color
royal hotel,58,inn
chequers inn,57,inn
fox inn,57,inn
cock inn,54,inn
angel inn,54,inn
duke of york,54,royalty
queens arms,53,royalty
horse & jockey,52,noun
greyhound inn,51,inn
victoria inn,51,inn
black swan,51,color
royal oak inn,50,inn
lamb inn,50,inn
duke of wellington,50,royalty
globe inn,48,inn
bull inn,48,inn
green dragon,47,color
horse & groom,46,noun
blue bell,44,color
black horse inn,44,color
red lion hotel,43,color
queens hotel,42,inn
britannia inn,41,inn
blue bell inn,41,color
king william iv,39,royalty
swan hotel,38,inn
cross keys inn,37,inn
railway hotel,37,inn
black lion,37,color
commercial inn,35,inn
miller & carter,34,noun
victoria hotel,34,inn
castle hotel,34,inn
kings arms hotel,33,inn
white hart hotel,32,color
dog & partridge,32,noun
black bull inn,32,color
vine inn,32,inn
gate inn,31,inn
inn,31,inn
prince albert,31,royalty
crown & anchor,31,royalty
hope & anchor,30,noun
commercial hotel,30,inn
royal standard,30,royalty
half moon inn,29,inn
griffin inn,29,inn
horseshoe inn,27,inn
royal george,27,royalty
white bear,26,color
kings head hotel,25,inn
royal oak hotel,25,inn
plough & harrow,25,noun
pheasant inn,25,inn
fountain inn,25,inn
windmill inn,24,inn
boat inn,24,inn
golden fleece,24,color
woolpack inn,23,inn
bay horse inn,23,inn
brewhouse & kitchen,22,noun
cross inn,22,inn
boot inn,22,inn
roebuck inn,22,inn
cross keys hotel,22,inn
white house,22,color
stag inn,22,inn
elephant & castle,21,noun
rose inn,21,inn
dolphin inn,21,inn
dukes head,21,royalty
blue boar,21,color
kings head inn,21,inn
rising sun inn,21,inn
white lion inn,21,color
unicorn inn,21,inn
bear inn,20,inn
star & garter,20,noun
blue anchor,20,color
bush inn,19,inn
wellington inn,19,inn
station inn,19,inn
bell hotel,19,inn
navigation inn,19,inn
talbot inn,19,inn
black boy,19,color
union inn,19,inn
falcon inn,19,inn
london inn,18,inn
orange tree,18,color
fleece inn,18,inn
dog inn,18,inn
woodman inn,18,inn
queen victoria,18,royalty
park inn,18,inn
victoria bar,18,royalty
black lion hotel,17,color
wheel inn,17,inn
red cow,17,color
mill inn,17,inn
lion inn,17,inn
buck inn,17,inn
lion hotel,17,inn
yew tree inn,16,inn
black bull hotel,16,color
cottage inn,16,inn
windsor castle,16,royalty
fox & goose,16,noun
albion inn,16,inn
pitcher & piano,16,noun
church inn,16,inn
harbour inn,15,inn
wheatsheaf hotel,15,inn
county hotel,15,inn
inn on green,15,inn
ferry inn,15,inn
white lion hotel,15,color
welcome inn,15,inn
golden lion hotel,15,color
coach & horses inn,15,inn
red house,14,color
white swan inn,14,color
bull hotel,14,inn
grey horse,14,color
ship hotel,14,inn
dog & duck,14,noun
salutation inn,13,inn
golden ball,13,color
oak inn,13,inn
brass monkey,13,color
golden lion inn,13,color
sportsman inn,13,inn
royal exchange,13,royalty
queens head hotel,13,inn
black dog,13,color
smugglers inn,13,inn
harrow inn,13,inn
crown & sceptre,12,royalty
talbot hotel,12,inn
robin hood inn,12,inn
grapes inn,12,inn
dolphin hotel,12,inn
crown & cushion,12,royalty
rock inn,12,inn
nelson inn,11,inn
grapes hotel,11,inn
park hotel,10,inn
adam & eve,10,noun
royal bar,10,royalty
